dataFieldList,include,hashNeeded
activeSchedule,TRUE,TRUE
alarmType,,
annotations.code,,
annotations.threshold,,
annotations.value,,
basalSchedules,TRUE,
bgInput,TRUE,
bgTarget,TRUE,
bgTarget.high,TRUE,
bgTarget.low,TRUE,
bgTarget.range,TRUE,
bgTarget.start,TRUE,
bgTarget.target,TRUE,
bgTargets,TRUE,
bolus,TRUE,
carbInput,TRUE,
carbRatio,TRUE,
carbRatio.amount,TRUE,
carbRatio.start,TRUE,
carbRatios,TRUE,
change.agent,TRUE,
change.from,TRUE,
change.to,TRUE,
clockDriftOffset,,
computerTime,,
conversionOffset,,
deliveryType,TRUE,
deviceId,TRUE,TRUE
deviceManufacturers,TRUE,TRUE
deviceModel,TRUE,TRUE
deviceSerialNumber,TRUE,TRUE
deviceTags,TRUE,
deviceTime,TRUE,
duration,TRUE,
expectedDuration,TRUE,
expectedExtended,TRUE,
expectedNormal,TRUE,
extended,TRUE,
highAlerts.enabled,TRUE,
highAlerts.level,TRUE,
highAlerts.snooze,TRUE,
id,TRUE,
insulinCarbRatio,TRUE,
insulinOnBoard,TRUE,
insulinSensitivities,TRUE,
insulinSensitivity,TRUE,
insulinSensitivity.amount,TRUE,
insulinSensitivity.start,TRUE,
lowAlerts.enabled,TRUE,
lowAlerts.level,TRUE,
lowAlerts.snooze,TRUE,
normal,TRUE,
outOfRangeAlerts.enabled,TRUE,
outOfRangeAlerts.snooze,TRUE,
payload.calibration_reading,TRUE,
payload.Status,,
payload.Trend Arrow,,
payload.Trend Rate,,
percent,TRUE,
primeTarget,TRUE,
rate,TRUE,
rateOfChangeAlerts.fallRate.enabled,TRUE,
rateOfChangeAlerts.fallRate.rate,TRUE,
rateOfChangeAlerts.riseRate.enabled,TRUE,
rateOfChangeAlerts.riseRate.rate,TRUE,
reason.resumed,TRUE,
reason.suspended,TRUE,
recommended.carb,TRUE,
recommended.correction,TRUE,
recommended.net,TRUE,
scheduleName,TRUE,TRUE
status,TRUE,
subType,TRUE,
suppressed.clockDriftOffset,,
suppressed.conversionOffset,,
suppressed.deliveryType,TRUE,
suppressed.deviceId,TRUE,TRUE
suppressed.deviceTime,TRUE,
suppressed.duration,TRUE,
suppressed.rate,TRUE,
suppressed.scheduleName,TRUE,TRUE
suppressed.suppressed.clockDriftOffset,,
suppressed.suppressed.conversionOffset,,
suppressed.suppressed.deliveryType,TRUE,
suppressed.suppressed.deviceId,TRUE,TRUE
suppressed.suppressed.deviceTime,TRUE,
suppressed.suppressed.duration,TRUE,
suppressed.suppressed.rate,TRUE,
suppressed.suppressed.scheduleName,TRUE,TRUE
suppressed.suppressed.time,TRUE,
suppressed.suppressed.timezoneOffset,,
suppressed.suppressed.type,TRUE,
suppressed.time,TRUE,
suppressed.timezoneOffset,,
suppressed.type,TRUE,
time,TRUE,
timeProcessing,TRUE,
timezone,TRUE,
timezoneOffset,,
transmitterId,TRUE,TRUE
type,TRUE,
units,TRUE,
units.bg,TRUE,
units.carb,TRUE,
uploadId,TRUE,
value,TRUE,
version,TRUE,
