time,adult,child,fiasp,walsh6hr
0,0,0,0,0
5,0.002409903,0.003077658,0.004131414,0.000823681
10,0.006834903,0.008645143,0.011456436,-0.000233488
15,0.010706638,0.013399412,0.01750609,0.001606728
20,0.014073901,0.017425277,0.022440277,0.003346567
25,0.016981797,0.020799905,0.026401471,0.00498827
30,0.019471995,0.023593456,0.029516467,0.006534075
35,0.021582967,0.025869662,0.031897971,0.007986223
40,0.023350211,0.02768637,0.033646032,0.009346952
45,0.024806462,0.029096028,0.03484934,0.010618503
50,0.025981882,0.030146152,0.035586395,0.011803114
55,0.026904247,0.030879736,0.035926567,0.012903026
60,0.027599112,0.031335644,0.035931048,0.013920477
65,0.028089974,0.031548965,0.035653715,0.014857708
70,0.028398416,0.031551336,0.035141906,0.015716957
75,0.028544247,0.031371247,0.034437118,0.016500465
80,0.028545633,0.031034314,0.033575638,0.01721047
85,0.028419211,0.030563534,0.032589113,0.017849213
90,0.028180208,0.029979519,0.031505054,0.018418932
95,0.027842542,0.029300707,0.030347303,0.018921868
100,0.027418917,0.028543562,0.029136435,0.019360259
105,0.026920919,0.02772275,0.027890139,0.019736346
110,0.026359097,0.026851306,0.02662354,0.020052367
115,0.025743042,0.025940787,0.025349502,0.020310563
120,0.025081461,0.025001406,0.024078895,0.020513172
125,0.024382244,0.024042164,0.022820829,0.020662435
130,0.023652529,0.023070961,0.021582872,0.02076059
135,0.022898758,0.022094706,0.020371237,0.020809878
140,0.022126737,0.021119411,0.019190955,0.020812537
145,0.021341679,0.020150283,0.018046022,0.020770808
150,0.02054826,0.0191918,0.016939538,0.020686929
155,0.019750656,0.01824779,0.015873826,0.020563141
160,0.018952589,0.017321494,0.014850537,0.020401682
165,0.018157359,0.016415629,0.013870745,0.020204793
170,0.017367885,0.015532445,0.012935033,0.019974712
175,0.016586733,0.014673772,0.012043561,0.01971368
180,0.015816149,0.013841071,0.011196138,0.019423935
185,0.015058084,0.01303547,0.010392276,0.019107718
190,0.014314224,0.012257808,0.00963124,0.018767267
195,0.013586009,0.011508664,0.008912094,0.018404823
200,0.012874659,0.010788394,0.008233738,0.018022624
205,0.012181191,0.010097151,0.007594944,0.017622911
210,0.011506441,0.00943492,0.006994383,0.017207922
215,0.010851081,0.008801531,0.006430651,0.016779898
220,0.01021563,0.00819669,0.005902292,0.016341077
225,0.009600476,0.007619987,0.005407817,0.0158937
230,0.009005886,0.007070923,0.004945719,0.015440005
235,0.008432018,0.006548915,0.004514486,0.014982233
240,0.007878933,0.006053317,0.004112615,0.014522622
245,0.007346606,0.00558343,0.003738621,0.014063413
250,0.006834936,0.005138509,0.003391043,0.013606844
255,0.006343754,0.004717777,0.003068453,0.013155156
260,0.005872832,0.004320431,0.002769461,0.012710587
265,0.00542189,0.003945652,0.002492717,0.012275378
270,0.004990601,0.003592606,0.002236918,0.011851767
275,0.004578602,0.003260456,0.002000807,0.011441995
280,0.004185493,0.002948363,0.001783178,0.0110483
285,0.00381085,0.002655494,0.001582872,0.010672923
290,0.003454221,0.002381019,0.001398783,0.010318102
295,0.003115138,0.002124123,0.001229857,0.009986078
300,0.002793117,0.001884002,0.001075088,0.009679089
305,0.002487661,0.001659868,0.000933522,0.009399376
310,0.002198263,0.001450951,0.000804254,0.009149177
315,0.001924414,0.001256502,0.000686426,0.008930733
320,0.001665598,0.001075789,0.000579227,0.008746282
325,0.001421298,0.000908105,0.000481893,0.008598065
330,0.001191,0.000752763,0.000393703,0.00848832
335,0.000974191,0.0006091,0.000313977,0.008419288
340,0.000770361,0.000476477,0.000242079,0.008393207
345,0.000579007,0.000354278,0.00017741,0.008412318
350,0.000399634,0.000241911,0.000119408,0.008478859
355,0.000231752,0.000138806,6.75E-05,0.008595071
360,7.49E-05,4.44E-05,2.13E-05,0.012609304
365,0,0,0,0
370,0,0,0,0
375,0,0,0,0
380,0,0,0,0
385,0,0,0,0
390,0,0,0,0
395,0,0,0,0
400,0,0,0,0
405,0,0,0,0
410,0,0,0,0
415,0,0,0,0
420,0,0,0,0
425,0,0,0,0
430,0,0,0,0
435,0,0,0,0
440,0,0,0,0
445,0,0,0,0
450,0,0,0,0
455,0,0,0,0
460,0,0,0,0
465,0,0,0,0
470,0,0,0,0
475,0,0,0,0
